Date/Time,Total_Demand_kWh,Aircon_kWh,Plugs_kWh,Lighting_kWh,Other_kWh
1/04/2024 13:00,1.5567,0.461389,0.938838,0.077694,0.078779
1/04/2024 14:00,0.2171,0.069096,0.127935,0.010555,0.009514
1/04/2024 15:00,0.2963,0.102619,0.166978,0.013975,0.012728
1/04/2024 16:00,0.7204,0.269306,0.373544,0.036185,0.041365
1/04/2024 17:00,0.4203,0.158182,0.191858,0.02863,0.041631
1/04/2024 18:00,2.8796,1.041467,1.240533,0.240168,0.357431
1/04/2024 19:00,0.5087,0.188271,0.238677,0.051595,0.030157
1/04/2024 20:00,0.3526,0.135506,0.169944,0.040203,0.006947
1/04/2024 21:00,0.3045,0.115653,0.148193,0.036203,0.004451
1/04/2024 22:00,2.737,0.986785,1.393948,0.322553,0.033714
1/04/2024 23:00,3.1984,0.953166,1.867585,0.332704,0.044946
2/04/2024 0:00,0.3795,0.086216,0.255615,0.0316,0.006068
2/04/2024 1:00,0.315,0.064543,0.220457,0.02387,0.00613
2/04/2024 2:00,0.3099,0.062175,0.217206,0.023782,0.006737
2/04/2024 3:00,0.263,0.053308,0.183812,0.019907,0.005972
2/04/2024 4:00,0.1485,0.030831,0.103125,0.011099,0.003445
2/04/2024 5:00,0.1484,0.038484,0.095165,0.011692,0.003059
2/04/2024 6:00,0.1286,0.040106,0.073408,0.012621,0.002465
2/04/2024 7:00,0.8724,0.350864,0.427552,0.079504,0.01448
2/04/2024 8:00,3.0962,1.248122,1.55435,0.227662,0.066067
2/04/2024 9:00,0.1547,0.05238,0.088278,0.01004,0.004002
2/04/2024 10:00,0.511,0.150832,0.305305,0.033177,0.021686
2/04/2024 11:00,1.1578,0.712171,0.174526,0.150951,0.120153
2/04/2024 12:00,0.2213,0.135966,0.030365,0.026809,0.02816
2/04/2024 13:00,0.6411,0.190015,0.386644,0.031997,0.032444
2/04/2024 14:00,2.3357,0.743381,1.376406,0.113554,0.102359
2/04/2024 15:00,1.6236,0.56231,0.914969,0.076575,0.069745
2/04/2024 16:00,0.9682,0.361941,0.502034,0.048632,0.055594
2/04/2024 17:00,1.2193,0.458889,0.556584,0.083056,0.120771
2/04/2024 18:00,1.4433,0.522,0.621774,0.120376,0.17915
2/04/2024 19:00,1.1224,0.415403,0.52662,0.11384,0.066538
2/04/2024 20:00,1.2618,0.484917,0.608156,0.143867,0.024859
2/04/2024 21:00,1.6642,0.632082,0.809927,0.197862,0.024329
2/04/2024 22:00,2.3298,0.839975,1.186562,0.274565,0.028698
2/04/2024 23:00,1.4952,0.445589,0.873065,0.155534,0.021012
3/04/2024 0:00,0.2631,0.059772,0.177213,0.021908,0.004207
3/04/2024 1:00,1.1233,0.230163,0.786156,0.085122,0.021859
3/04/2024 2:00,0.3077,0.061733,0.215664,0.023613,0.006689
3/04/2024 3:00,0.2213,0.044856,0.154668,0.016751,0.005025
3/04/2024 4:00,0.1389,0.028838,0.096458,0.010382,0.003222
3/04/2024 5:00,0.139,0.036046,0.089137,0.010952,0.002865
3/04/2024 6:00,0.1996,0.062248,0.113937,0.019589,0.003826
3/04/2024 7:00,0.2225,0.089486,0.109044,0.020277,0.003693
3/04/2024 8:00,0.1224,0.049341,0.061447,0.009,0.002612
3/04/2024 9:00,0.164,0.055529,0.093585,0.010644,0.004242
3/04/2024 10:00,0.1919,0.056643,0.114654,0.012459,0.008144
3/04/2024 11:00,0.394,0.242352,0.059391,0.051369,0.040888
3/04/2024 12:00,2.1318,1.309769,0.292506,0.258255,0.27127
3/04/2024 13:00,2.0493,0.60739,1.235922,0.102279,0.103708
3/04/2024 14:00,1.3525,0.430459,0.797016,0.065754,0.059271
3/04/2024 15:00,0.6434,0.222832,0.362584,0.030345,0.027639
3/04/2024 16:00,0.2549,0.095289,0.132171,0.012803,0.014636
3/04/2024 17:00,0.3423,0.128826,0.156253,0.023317,0.033905
3/04/2024 18:00,0.8171,0.295521,0.352007,0.068149,0.101423
3/04/2024 19:00,2.661,0.984842,1.248516,0.269893,0.157749
3/04/2024 20:00,1.4535,0.558589,0.700551,0.165724,0.028636
3/04/2024 21:00,0.4662,0.177068,0.226889,0.055428,0.006815
3/04/2024 22:00,0.2641,0.095217,0.134506,0.031124,0.003253
3/04/2024 23:00,0.2661,0.079301,0.155379,0.02768,0.003739
4/04/2024 0:00,0.1578,0.03585,0.106287,0.01314,0.002523
4/04/2024 1:00,0.1639,0.033583,0.114707,0.01242,0.003189
4/04/2024 2:00,0.1318,0.026443,0.092377,0.010115,0.002865
4/04/2024 3:00,0.1307,0.026492,0.091347,0.009893,0.002968
4/04/2024 4:00,0.1297,0.026928,0.090069,0.009694,0.003009
4/04/2024 5:00,0.1287,0.033375,0.082532,0.01014,0.002653
4/04/2024 6:00,0.2005,0.062529,0.114451,0.019677,0.003843
4/04/2024 7:00,0.1274,0.051238,0.062437,0.01161,0.002115
4/04/2024 8:00,0.1505,0.060669,0.075554,0.011066,0.003211
4/04/2024 9:00,0.1961,0.066397,0.111903,0.012727,0.005073
4/04/2024 10:00,0.4629,0.136634,0.276567,0.030054,0.019645
4/04/2024 11:00,2.2109,1.359939,0.333269,0.288252,0.22944
4/04/2024 12:00,1.9317,1.186829,0.26505,0.234014,0.245808
4/04/2024 13:00,1.5037,0.44568,0.906874,0.075049,0.076097
4/04/2024 14:00,0.7121,0.226639,0.419634,0.03462,0.031207
4/04/2024 15:00,0.6463,0.223836,0.364218,0.030482,0.027763
4/04/2024 16:00,1.5337,0.573341,0.795258,0.077036,0.088065
4/04/2024 17:00,2.5557,0.96185,1.166621,0.174088,0.253141
4/04/2024 18:00,1.1683,0.42254,0.503304,0.09744,0.145016
4/04/2024 19:00,0.3162,0.117026,0.148358,0.032071,0.018745
4/04/2024 20:00,0.2652,0.101918,0.12782,0.030237,0.005225
4/04/2024 21:00,2.0089,0.763003,0.977684,0.238845,0.029368
4/04/2024 22:00,1.1371,0.409965,0.579122,0.134006,0.014007
4/04/2024 23:00,0.9639,0.287255,0.562833,0.100267,0.013545
5/04/2024 0:00,0.2359,0.053593,0.158892,0.019643,0.003772
5/04/2024 1:00,1.7651,0.361668,1.235328,0.133756,0.034348
5/04/2024 2:00,1.7953,0.360189,1.258309,0.137774,0.039028
